N,collisions
1000,0
50950,2
100900,34
150850,63
200800,107
250750,168
300700,242
350650,323
400600,421
450550,517
500500,616
550450,737
600400,897
650350,1050
700300,1217
750250,1400
800200,1591
850150,1742
900100,1955
950050,2180
1000000,2417
