N,collisions
1000,0
50950,0
100900,2
150850,6
200800,9
250750,11
300700,13
350650,18
400600,25
450550,30
500500,38
550450,44
600400,51
650350,54
700300,62
750250,67
800200,75
850150,87
900100,105
950050,120
1000000,131
