N,collisions
1000,0
50950,0
100900,1
150850,4
200800,5
250750,9
300700,14
350650,18
400600,23
450550,25
500500,27
550450,34
600400,40
650350,48
700300,57
750250,63
800200,71
850150,81
900100,91
950050,98
1000000,115
