N,collisions
1000,0
50950,1
100900,2
150850,3
200800,4
250750,7
300700,12
350650,13
400600,16
450550,19
500500,28
550450,37
600400,44
650350,55
700300,68
750250,70
800200,80
850150,89
900100,97
950050,113
1000000,121
