N,collisions
1000,0
50950,0
100900,1
150850,3
200800,5
250750,9
300700,11
350650,14
400600,15
450550,22
500500,28
550450,33
600400,36
650350,46
700300,57
750250,64
800200,75
850150,81
900100,90
950050,104
1000000,116
